"""","ス－パ－_商店数(店)","ス－パ－_ 月末従業者数(人)","ス－パ－_売場面積(千m2)","ス－パ－_営業日数(日)","ス－パ－_販売額計(百万円)","ス－パ－_衣料品(百万円)","ス－パ－_飲食料品(百万円)","ス－パ－_その他(百万円)","ス－パ－_商品券(百万円)"
"平成14年(2002年)","33.0","x","x","x","x","x","x","x","x"
"平成15年(2003年)","34.0","x","x","x","x","x","x","x","x"
"平成16年(2004年)","36.0","x","x","x","x","x","x","x","x"
"平成17年(2005年)","38.0","3617.0","x","x","x","x","x","x","x"
"","","","","","","","","",""
"平成18年(2006年)","37.0","3312.0","x","x","x","x","x","x","x"
"平成19年(2007年)","37.0","3261.0","x","x","x","x","x","x","x"
"平成20年(2008年)","38.0","3353.0","x","x","x","x","x","x","x"
"平成21年(2009年)","38.0","3361.0","x","x","x","x","x","x","x"
"平成22年(2010年)","38.0","3251.0","x","x","x","x","x","x","x"
"","","","","","","","","",""
"平成23年(2011年)","40.0","3409.0","x","x","x","x","x","x","x"
"平成24年(2012年)","40.0","3445.0","x","x","x","x","x","x","x"
"平成25年(2013年)","38.0","3134.0","x","x","x","x","x","x","x"
"平成26年(2014年)","39.0","3222.0","x","x","x","x","x","x","x"
"","","","","","","","","",""
"2014年 1月","38.0","3306.0","x","x","x","x","x","x","x"
"2014年 2月","37.0","3065.0","x","x","x","x","x","x","x"
"2014年 3月","39.0","3135.0","x","x","x","x","x","x","x"
"2014年 4月","39.0","3306.0","x","x","x","x","x","x","x"
"2014年 5月","39.0","3240.0","x","x","x","x","x","x","x"
"2014年 6月","39.0","3237.0","x","x","x","x","x","x","x"
"","","","","","","","","",""
"2014年 7月","39.0","3180.0","x","x","x","x","x","x","x"
"2014年 8月","39.0","3347.0","x","x","x","x","x","x","x"
"2014年 9月","39.0","3237.0","x","x","x","x","x","x","x"
"2014年10月","39.0","3130.0","x","x","x","x","x","x","x"
"2014年11月","39.0","3222.0","x","x","x","x","x","x","x"
"2014年12月","39.0","3222.0","x","x","x","x","x","x","x"
